strategy,events_raw,events_kept,events_purged,family,symbol,source_file,horizon_ms,meta_symbol,meta_direction,meta_ret_threshold,meta_oi_threshold,meta_entry_delay_min,meta_exit_hold_h,meta_n_events,meta_mean_net_bp,meta_median_net_bp,meta_win_rate,meta_std_bp,meta_t_stat,meta_null_percentile,meta_edge_vs_null_bp,meta_exploratory_uncorrected_flag,meta_inference_scope,meta_year_breakdown
btc_long_ret-2_oinone_entry0_exit72h,670,303,367,liq_reversion,BTCUSDT,events_btc_long_ret-2_oinone_entry0_exit72h.csv,259200000,BTCUSDT,long,-0.02,,0.0,72.0,670.0,59.51632025669464,56.89141598617288,0.5462686567164179,654.0992992162246,2.355210829267309,100.0,49.77089552945869,True,exploratory_uncorrected,"{""2021"": {""n"": 240, ""mean_bp"": 134.59712005753707}, ""2022"": {""n"": 146, ""mean_bp"": -126.53437357630906}, ""2023"": {""n"": 59, ""mean_bp"": 222.77439103725132}, ""2024"": {""n"": 112, ""mean_bp"": 63.73294623116764}, ""2025"": {""n"": 72, ""mean_bp"": 51.26673059217598}, ""2026"": {""n"": 41, ""mean_bp"": 50.57708899005781}}"
btc_long_ret-2_oinone_entry30_exit4h,670,670,0,liq_reversion,BTCUSDT,events_btc_long_ret-2_oinone_entry30_exit4h.csv,14400000,BTCUSDT,long,-0.02,,30.0,4.0,670.0,-7.379427155332202,-3.554262236415294,0.4925373134328358,206.1045848861557,-0.926770920631232,89.5,5.3678861524566095,False,exploratory_uncorrected,"{""2021"": {""n"": 240, ""mean_bp"": -9.867956319524687}, ""2022"": {""n"": 146, ""mean_bp"": -27.478799739713843}, ""2023"": {""n"": 59, ""mean_bp"": 22.05760536925997}, ""2024"": {""n"": 112, ""mean_bp"": -4.339652494116326}, ""2025"": {""n"": 72, ""mean_bp"": -12.299556861709334}, ""2026"": {""n"": 41, ""mean_bp"": 36.736793688032485}}"
btc_long_ret-2_oinone_entry30_exit24h,670,501,169,liq_reversion,BTCUSDT,events_btc_long_ret-2_oinone_entry30_exit24h.csv,86400000,BTCUSDT,long,-0.02,,30.0,24.0,670.0,13.465657678338232,12.935493861897086,0.5208955223880597,415.6518292996364,0.8385621867256401,98.5,19.76623276183907,True,exploratory_uncorrected,"{""2021"": {""n"": 240, ""mean_bp"": 29.480641886665115}, ""2022"": {""n"": 146, ""mean_bp"": -57.1499924035409}, ""2023"": {""n"": 59, ""mean_bp"": 75.5943364246154}, ""2024"": {""n"": 112, ""mean_bp"": 40.58429153900346}, ""2025"": {""n"": 72, ""mean_bp"": 14.552879922103095}, ""2026"": {""n"": 41, ""mean_bp"": 5.78589333638638}}"
btc_long_ret-2_oinone_entry30_exit72h,670,303,367,liq_reversion,BTCUSDT,events_btc_long_ret-2_oinone_entry30_exit72h.csv,259200000,BTCUSDT,long,-0.02,,30.0,72.0,670.0,61.44137675628927,44.19026816498929,0.5462686567164179,644.6603024973897,2.466990132293346,100.0,53.69201997178355,True,exploratory_uncorrected,"{""2021"": {""n"": 240, ""mean_bp"": 127.60161513091774}, ""2022"": {""n"": 146, ""mean_bp"": -109.10182601264785}, ""2023"": {""n"": 59, ""mean_bp"": 229.0821141674252}, ""2024"": {""n"": 112, ""mean_bp"": 60.434118843156284}, ""2025"": {""n"": 72, ""mean_bp"": 46.17699130054465}, ""2026"": {""n"": 41, ""mean_bp"": 69.78029202900802}}"
btc_long_ret-2_oinone_entry60_exit4h,670,670,0,liq_reversion,BTCUSDT,events_btc_long_ret-2_oinone_entry60_exit4h.csv,14400000,BTCUSDT,long,-0.02,,60.0,4.0,670.0,4.685654173351866,7.458463525185767,0.5283582089552239,196.6543265399267,0.6167428564135962,100.0,17.27709069951958,True,exploratory_uncorrected,"{""2021"": {""n"": 240, ""mean_bp"": 20.409646638897993}, ""2022"": {""n"": 146, ""mean_bp"": -22.524686331654678}, ""2023"": {""n"": 59, ""mean_bp"": 30.884626606988387}, ""2024"": {""n"": 112, ""mean_bp"": -3.0308711830484394}, ""2025"": {""n"": 72, ""mean_bp"": -12.59835152769244}, ""2026"": {""n"": 41, ""mean_bp"": 23.268859022311744}}"
btc_long_ret-2_oinone_entry60_exit24h,670,501,169,liq_reversion,BTCUSDT,events_btc_long_ret-2_oinone_entry60_exit24h.csv,86400000,BTCUSDT,long,-0.02,,60.0,24.0,670.0,18.357033842805446,24.15329246270593,0.5313432835820896,413.6502027535898,1.148700125171513,97.5,24.955922919083147,True,exploratory_uncorrected,"{""2021"": {""n"": 240, ""mean_bp"": 48.561751426624184}, ""2022"": {""n"": 146, ""mean_bp"": -59.22282569706617}, ""2023"": {""n"": 59, ""mean_bp"": 75.73435091616005}, ""2024"": {""n"": 112, ""mean_bp"": 43.29705752281219}, ""2025"": {""n"": 72, ""mean_bp"": 14.336254706103748}, ""2026"": {""n"": 41, ""mean_bp"": -25.826404911862827}}"
btc_long_ret-2_oinone_entry60_exit72h,670,303,367,liq_reversion,BTCUSDT,events_btc_long_ret-2_oinone_entry60_exit72h.csv,259200000,BTCUSDT,long,-0.02,,60.0,72.0,670.0,65.81521757123734,36.8744820662621,0.5388059701492537,643.9737165390125,2.6454257737574904,100.0,57.012945651034265,True,exploratory_uncorrected,"{""2021"": {""n"": 240, ""mean_bp"": 141.2677232866135}, ""2022"": {""n"": 146, ""mean_bp"": -97.20459218172918}, ""2023"": {""n"": 59, ""mean_bp"": 222.16018840552306}, ""2024"": {""n"": 112, ""mean_bp"": 55.058160509366154}, ""2025"": {""n"": 72, ""mean_bp"": 45.133382239685915}, ""2026"": {""n"": 41, ""mean_bp"": 45.371805566877356}}"
btc_long_ret-3_oi-1_entry0_exit4h,72,72,0,liq_reversion,BTCUSDT,events_btc_long_ret-3_oi-1_entry0_exit4h.csv,14400000,BTCUSDT,long,-0.03,-0.01,0.0,4.0,72.0,31.651294008481653,48.63915697556021,0.5833333333333334,185.16639966341967,1.4504258656478877,100.0,43.42403563157843,True,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 21, ""mean_bp"": 85.26443781902451}, ""2024"": {""n"": 29, ""mean_bp"": 32.3740881999337}, ""2025"": {""n"": 16, ""mean_bp"": -33.40436978196868}, ""2026"": {""n"": 6, ""mean_bp"": 13.993555520764437}}"
btc_long_ret-3_oi-1_entry0_exit24h,72,67,5,liq_reversion,BTCUSDT,events_btc_long_ret-3_oi-1_entry0_exit24h.csv,86400000,BTCUSDT,long,-0.03,-0.01,0.0,24.0,72.0,90.91473987355202,100.3605041288076,0.6111111111111112,269.9057786598865,2.8581720358973803,100.0,91.65825155542456,True,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 21, ""mean_bp"": 103.06065656612485}, ""2024"": {""n"": 29, ""mean_bp"": 62.74128527208322}, ""2025"": {""n"": 16, ""mean_bp"": 97.19957489654657}, ""2026"": {""n"": 6, ""mean_bp"": 167.81616862866088}}"
btc_long_ret-3_oi-1_entry0_exit72h,72,59,13,liq_reversion,BTCUSDT,events_btc_long_ret-3_oi-1_entry0_exit72h.csv,259200000,BTCUSDT,long,-0.03,-0.01,0.0,72.0,72.0,168.76006723084137,149.84315888740895,0.6944444444444444,485.8534145787737,2.947342989100129,100.0,132.37096729492623,True,exploratory_uncorrected,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 21, ""mean_bp"": 265.24061595208923}, ""2024"": {""n"": 29, ""mean_bp"": 73.34069053440463}, ""2025"": {""n"": 16, ""mean_bp"": 233.30732181363138}, ""2026"": {""n"": 6, ""mean_bp"": 120.14578851847786}}"
