strategy,family,symbol,fold_year,fold_type,horizon_ms,train_events,train_months,test_events,test_months,train_eligible,test_eligible,train_mean_bp,train_ci_low_bp,train_ci_high_bp,train_p_positive,train_p_two_sided,test_mean_bp,test_ci_low_bp,test_ci_high_bp,test_p_positive,test_p_two_sided,train_bh_q,train_by_q,train_family_bh_q,train_family_by_q,test_bh_q,test_by_q,test_family_bh_q,test_family_by_q,primary_selection,oos_positive,oos_survives_selection,oos_fdr_significant,selected_oos_fdr_significant,monitoring_only
btc_long_ret-2_oi-2_entry30_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,66,24,17,10,True,True,63.871799694565254,-23.02283772684589,145.95501281839324,0.06896551724137931,0.136431784107946,51.99973850460569,-119.02192509208132,210.09099307080274,0.28585707146426786,0.5367316341829086,0.2561576354679803,1.0,0.24075235109717869,1.0,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-2_oi-2_entry60_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,89,24,25,11,True,True,-0.21780961209264826,-33.856235197030145,35.304174490253565,0.4987506246876562,0.9880059970014993,-22.34077291048607,-70.45316545271741,15.996890380372653,0.8335832083958021,0.3193403298350825,0.9100011397809867,1.0,0.9388247052944118,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,False
btc_long_ret-2_oi-2_entry60_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,81,24,23,11,True,True,13.170072154635681,-51.71547548245208,72.43216916810175,0.3473263368315842,0.6781609195402298,24.71649913674145,-102.86165554210646,123.33623509931702,0.33233383308345826,0.6671664167916042,0.7152859213957377,1.0,0.7409628519073796,1.0,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-2_oi-2_entry60_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,66,24,17,10,True,True,48.525852251849045,-45.12228093435604,139.2562524980521,0.14592703648175911,0.3073463268365817,31.695485786447907,-128.2078987513798,174.38413486585407,0.3343328335832084,0.6776611694152923,0.40074699492359084,1.0,0.3904714309511911,1.0,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-2_oinone_entry0_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,171,24,72,12,True,True,10.544936327806354,-12.111999239113999,34.35822060329547,0.1744127936031984,0.36231884057971014,-16.70665803207689,-50.135795773451186,22.649230245654053,0.8085957021489255,0.383808095952024,0.45477261369315347,1.0,0.4418843209973961,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,False
btc_long_ret-2_oinone_entry0_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,132,24,60,12,True,True,36.25135373155782,-11.988885331628074,82.57392293522437,0.06846576711644178,0.14042978510744628,21.025903649344915,-50.66612671336624,89.27969313829091,0.28385807096451776,0.545727136431784,0.2561576354679803,1.0,0.24075235109717869,1.0,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-2_oinone_entry0_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,94,24,39,12,True,True,91.85892468745917,7.1491285230217185,176.26120427951543,0.02148925537231384,0.03798100949525238,16.138596382609514,-103.31842711451057,117.51700719436994,0.3938030984507746,0.7746126936531734,0.17077175697865352,1.0,0.15763546798029557,0.9201675575236683,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-2_oinone_entry30_exit4h,liq_reversion,BTCUSDT,2025,formal_oos,14400000,171,24,72,12,True,True,4.768173318393626,-18.03207862879405,22.00438402541792,0.3263368315842079,0.6226886556721639,-12.299556861709338,-45.69864595425124,35.19094617044667,0.6911544227886057,0.5757121439280359,0.6787806096951524,1.0,0.7040075467884036,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,False
btc_long_ret-2_oinone_entry30_exit24h,liq_reversion,BTCUSDT,2025,formal_oos,86400000,132,24,60,12,True,True,40.595762960252436,-1.261403460195497,80.45776830442993,0.022988505747126436,0.0559720139930035,3.97678251682058,-73.36984471291463,68.48290098675957,0.47626186906546725,0.9110444777611194,0.17077175697865352,1.0,0.15763546798029557,0.9201675575236683,1.0,1.0,1.0,1.0,False,True,False,False,False,False
btc_long_ret-2_oinone_entry30_exit72h,liq_reversion,BTCUSDT,2025,formal_oos,259200000,94,24,39,12,True,True,95.16605216556373,17.366984930868526,181.08013238253974,0.015492253873063468,0.02498750624687656,4.7196931214898905,-135.05111936271595,132.22980658096503,0.4657671164417791,0.9405297351324338,0.15592203898050974,0.9226149761898751,0.14392803598200898,0.8401529873042188,1.0,1.0,1.0,1.0,False,True,False,False,False,False
