strategy,family,symbol,bucket,scope,events,months,eligible,mean_bp,ci_low_bp,ci_high_bp,p_positive,p_two_sided,oos_bh_q,oos_by_q,oos_family_bh_q,oos_family_by_q,primary_selection,selected_strategy,oos_fdr_significant,selected_oos_fdr_significant
btc_long_ret-2_oi-1_entry60_exit4h,liq_reversion,BTCUSDT,uptrend_high_vol,exploratory,1,1,False,-42.33178617760446,-42.33178617760446,-42.33178617760446,1.0,0.0004997501249375312,,,,,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit4h,liq_reversion,BTCUSDT,downtrend_low_vol,exploratory,11,5,True,-70.22651713406732,-119.01382727147734,14.865891492328299,0.9980009995002499,0.09095452273863068,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit4h,liq_reversion,BTCUSDT,downtrend_high_vol,exploratory,14,3,False,11.863654978176795,-38.73101366421204,27.969658913453642,0.033483258370814596,0.17091454272863568,,,,,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit24h,liq_reversion,BTCUSDT,all,primary,39,12,True,69.4846054227079,9.166974396195036,142.07957258508628,0.022488755622188907,0.033483258370814596,0.47809428619023825,1.0,0.4566947295582978,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit24h,liq_reversion,BTCUSDT,uptrend,primary,15,8,True,128.89253954074755,-9.32382276060622,291.75562363565655,0.05747126436781609,0.08845577211394302,0.812760286523405,1.0,0.7658609719530478,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit24h,liq_reversion,BTCUSDT,downtrend,primary,24,6,True,32.35464659893312,-21.052885890290533,74.22680241321683,0.07146426786606697,0.16841579210394803,0.9453227931488801,1.0,0.898407938887699,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit24h,liq_reversion,BTCUSDT,uptrend_low_vol,exploratory,14,8,True,127.66073074479716,-11.765079501928488,313.57245381252284,0.0769615192403798,0.10844577711144428,0.8835182408795602,1.0,0.8369565217391304,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit24h,liq_reversion,BTCUSDT,uptrend_high_vol,exploratory,1,1,False,146.1378626840533,146.1378626840533,146.1378626840533,0.0004997501249375312,0.0004997501249375312,,,,,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit24h,liq_reversion,BTCUSDT,downtrend_low_vol,exploratory,11,5,True,-45.76093368430439,-258.88350560171705,46.09902829113612,0.735632183908046,0.5552223888055972,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit24h,liq_reversion,BTCUSDT,downtrend_high_vol,exploratory,13,3,False,98.45244530013409,89.25323585461899,109.61213367315926,0.0004997501249375312,0.0004997501249375312,,,,,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit72h,liq_reversion,BTCUSDT,all,primary,26,12,True,77.20059018007017,-70.14571674612252,214.9329192087362,0.1374312843578211,0.29535232383808097,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit72h,liq_reversion,BTCUSDT,uptrend,primary,13,8,True,146.46455106022972,45.600629298001586,261.65018062712653,0.0014992503748125937,0.0014992503748125937,0.06146926536731634,0.4260260141316054,0.06089263060777303,0.4169475897862633,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit72h,liq_reversion,BTCUSDT,downtrend,primary,13,6,True,7.936629299910574,-336.01076247733147,259.105497565928,0.5022488755622189,0.9555222388805598,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit72h,liq_reversion,BTCUSDT,uptrend_low_vol,exploratory,12,8,True,153.1851153025899,46.75344770504922,303.51067724303823,0.02498750624687656,0.02498750624687656,0.5737131434282858,1.0,0.5217391304347826,1.0,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit72h,liq_reversion,BTCUSDT,uptrend_high_vol,exploratory,1,1,False,65.81778015190733,65.81778015190733,65.81778015190733,0.0004997501249375312,0.0004997501249375312,,,,,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit72h,liq_reversion,BTCUSDT,downtrend_low_vol,exploratory,7,5,False,-88.79672399823292,-711.1839151237733,265.2667065610518,0.6361819090454772,0.7171414292853573,,,,,False,False,False,False
btc_long_ret-2_oi-1_entry60_exit72h,liq_reversion,BTCUSDT,downtrend_high_vol,exploratory,6,3,False,120.79220814774465,-152.0291852627286,288.2596412325962,0.2913543228385807,0.4352823588205897,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit4h,liq_reversion,BTCUSDT,all,primary,25,11,True,7.419906165449952,-42.121996717806255,52.16942118739263,0.36081959020489757,0.7731134432783608,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit4h,liq_reversion,BTCUSDT,uptrend,primary,12,7,True,46.97707173154841,-27.31247795878517,89.01439786639862,0.008995502248875561,0.11044477761119441,0.2725137431284358,1.0,0.2638680659670165,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit4h,liq_reversion,BTCUSDT,downtrend,primary,13,5,True,-29.094400510948624,-97.00479412452171,11.416535285832225,0.8025987006496752,0.30684657671164417,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit4h,liq_reversion,BTCUSDT,uptrend_low_vol,exploratory,11,7,True,47.28423453515083,-27.678616339689956,97.7805196459345,0.030484757621189407,0.1344327836081959,0.5737131434282858,1.0,0.5217391304347826,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit4h,liq_reversion,BTCUSDT,uptrend_high_vol,exploratory,1,1,False,43.59828089192176,43.59828089192176,43.59828089192176,0.0004997501249375312,0.0004997501249375312,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit4h,liq_reversion,BTCUSDT,downtrend_low_vol,exploratory,6,4,False,-46.79931885813418,-110.24662044826299,75.78982104022859,0.8675662168915542,0.2733633183408296,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit4h,liq_reversion,BTCUSDT,downtrend_high_vol,exploratory,7,2,False,-13.918756213360998,-116.70892992301052,27.197313270498807,0.7566216891554223,0.4877561219390305,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit24h,liq_reversion,BTCUSDT,all,primary,23,11,True,84.46189388684505,-49.49398980702775,219.6404552574279,0.10494752623688156,0.21539230384807595,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit24h,liq_reversion,BTCUSDT,uptrend,primary,11,7,True,223.9092297022048,-21.482782191684226,422.5380440152103,0.010994502748625687,0.049475262368815595,0.30051640846243544,1.0,0.2902548725637181,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit24h,liq_reversion,BTCUSDT,downtrend,primary,12,5,True,-43.364830610568056,-183.27104001036918,24.536228763401493,0.7741129435282359,0.41879060469765117,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit24h,liq_reversion,BTCUSDT,uptrend_low_vol,exploratory,10,7,True,227.76079164515727,-20.725692891834804,475.3716008938207,0.030984507746126936,0.06046976511744128,0.5737131434282858,1.0,0.5217391304347826,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit24h,liq_reversion,BTCUSDT,uptrend_high_vol,exploratory,1,1,False,185.3936102726801,185.3936102726801,185.3936102726801,0.0004997501249375312,0.0004997501249375312,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit24h,liq_reversion,BTCUSDT,downtrend_low_vol,exploratory,6,4,False,-121.46374937760463,-375.6247099094893,-10.642433328844684,0.8840579710144928,0.12093953023488256,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit24h,liq_reversion,BTCUSDT,downtrend_high_vol,exploratory,6,2,False,34.73408815646851,28.048335387805395,36.071238710201136,0.0004997501249375312,0.0004997501249375312,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit72h,liq_reversion,BTCUSDT,all,primary,17,10,True,101.9803065138451,-92.63711512590577,290.5151818952895,0.136431784107946,0.29985007496251875,1.0,1.0,1.0,1.0,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit72h,liq_reversion,BTCUSDT,uptrend,primary,9,7,False,284.65979984885405,99.10477242860051,421.0079201535109,0.0004997501249375312,0.0004997501249375312,,,,,False,False,False,False
btc_long_ret-2_oi-2_entry0_exit72h,liq_reversion,BTCUSDT,downtrend,primary,8,4,False,-103.53412348803995,-697.63747676949,82.23506801852265,0.7011494252873564,0.5627186406796602,,,,,False,False,False,False
