ts,oi_signal_ts,funding_pctile,oi_chg_7d_pctile,entry_ts,exit_ts,net_bp,year
1703750400000,1703721300000,99.62962962962963,76.66666666666667,1703750460000,1703836860000,179.35509697127384,2023
1703779200000,1703721300000,98.51851851851852,76.66666666666667,1703779260000,1703865660000,105.38919521426116,2023
1708185600000,1708090200000,81.11111111111111,86.66666666666667,1708185660000,1708272060000,-209.94525881481138,2024
1708905600000,1708905300000,99.62962962962963,91.11111111111111,1708905660000,1708992060000,-223.8299587340846,2024
1708934400000,1708905300000,81.48148148148148,91.11111111111111,1708934460000,1709020860000,-439.8258199969589,2024
1708963200000,1708905300000,82.22222222222221,91.11111111111111,1708963260000,1709049660000,-305.32207078919504,2024
1710201600000,1710201300000,98.51851851851852,75.55555555555556,1710201660000,1710288060000,207.98293306907922,2024
1710230400000,1710201300000,82.5925925925926,75.55555555555556,1710230460000,1710316860000,-44.21245377667903,2024
1710259200000,1710201300000,89.62962962962962,75.55555555555556,1710259260000,1710345660000,59.39509231315877,2024
1710288000000,1710287700000,88.88888888888889,92.22222222222223,1710288060000,1710374460000,-72.0976773471753,2024
1710316800001,1710287700000,96.29629629629629,92.22222222222223,1710316860000,1710403260000,169.22440356317583,2024
1710345600000,1710287700000,87.77777777777777,92.22222222222223,1710345660000,1710432060000,259.59239699005445,2024
1710374400001,1710374100000,84.07407407407408,85.55555555555556,1710374460000,1710460860000,284.18807596862615,2024
1710403200000,1710374100000,92.22222222222223,85.55555555555556,1710403260000,1710489660000,523.1526379379787,2024
1710432000000,1710374100000,78.14814814814814,85.55555555555556,1710432060000,1710518460000,406.753073876714,2024
1710460800000,1710460500000,82.5925925925926,88.88888888888889,1710460860000,1710547260000,358.44311682035124,2024
1710518400000,1710460500000,77.03703703703704,88.88888888888889,1710518460000,1710604860000,34.64744939095944,2024
1711584000000,1711583700000,84.44444444444444,92.22222222222223,1711584060000,1711670460000,-187.19403956681523,2024
1711612800000,1711583700000,81.85185185185185,92.22222222222223,1711612860000,1711699260000,119.62923128953153,2024
1711641600000,1711583700000,82.96296296296296,92.22222222222223,1711641660000,1711728060000,231.41555917893197,2024
1711670400000,1711670100000,80.37037037037037,88.88888888888889,1711670460000,1711756860000,121.02325228944568,2024
1711699200000,1711670100000,77.03703703703704,88.88888888888889,1711699260000,1711785660000,77.2464589235129,2024
1711728000000,1711670100000,83.7037037037037,88.88888888888889,1711728060000,1711814460000,-142.59996908792138,2024
1711814400000,1711756500000,90.37037037037037,88.88888888888889,1711814460000,1711900860000,-254.05923062358823,2024
1711872000000,1711842900000,97.4074074074074,92.22222222222223,1711872060000,1711958460000,218.04200822211308,2024
1711900800001,1711842900000,95.18518518518519,92.22222222222223,1711900860000,1711987260000,452.40689247887445,2024
