ts,rate,interval_hours,pctile,decile,fwd_ret_8h,fwd_ret_24h,fwd_ret_72h
1699286400000,0.0001,8.0,76.66666666666667,7,-0.0005159046858966843,-0.010489111845855659,0.06069148329722962
1699315200001,0.0001,8.0,76.29629629629629,7,-0.0032196521406837597,0.009944133759578255,0.0462272464131821
1699344000000,0.0001,8.0,75.92592592592592,7,-0.006780533859754523,0.007882012988870812,0.04458272537407382
1699372800000,0.0001,8.0,75.55555555555556,7,0.02012328609286773,0.014457310750086494,0.06920152091254761
1699401600000,0.0001,8.0,75.18518518518519,7,-0.0052548948738655454,0.004486850056191649,0.05338193852253026
1699430400000,0.0001,8.0,75.18518518518519,7,-0.0003008927430915298,0.0380629320010788,0.051844387356827504
1699459200000,0.0001,8.0,75.18518518518519,7,0.010097138103066783,0.056658687769571836,0.05352959716507799
1699488000000,0.0001,8.0,74.81481481481481,7,0.02799555849157387,0.03129857899841171,0.04508412160737629
1699516800000,0.0001,8.0,74.81481481481481,7,0.017607617297521916,-0.0015887600015312975,0.016133707416583265
1699545600000,0.00020027,8.0,100.0,9,-0.014145480244966202,-0.002550163516807147,-0.000588499273109333
1699574400000,0.0001,8.0,74.44444444444444,7,-0.004786449659142544,0.01685070147654888,0.011202908940248335
1699603200000,0.00011682,8.0,99.62962962962963,9,0.016627728949667686,0.014888541355689844,0.013141137127409719
1699632000000,0.0001,8.0,74.44444444444444,7,0.005029850424587146,-0.0004121944911419373,-0.00616136471399642
1699660800000,0.0001,8.0,74.07407407407408,7,-0.006706857775478303,-0.0034258050507838256,-0.022291858217777127
1699689600000,0.00016607,8.0,99.62962962962963,9,0.0013007726373568396,0.002820139846551939,-0.009342893922261397
1699718400000,0.00014648,8.0,99.25925925925925,9,0.001999832898059939,0.0023798550525429008,-0.025604329557368577
1699747200000,0.0001543,8.0,99.25925925925925,9,-0.0004814765999683335,-0.002135711845669297,-0.0433571023178122
1699776000000,0.00023487,8.0,100.0,9,0.0008611549163872745,-0.004529136638374176,-0.040703025344865584
1699804800001,0.00027221,8.0,100.0,9,-0.0025140220588630857,-0.008112090429508001,-0.020429454121114077
1699833600000,0.00032467,8.0,100.0,9,-0.002878869154318786,-0.01683114138536146,0.02081249882068792
1699862400000,0.00010893,8.0,97.03703703703704,9,-0.0027411999102486817,-0.007634268783572318,0.013430257548437297
1699891200000,0.00020492,8.0,98.88888888888889,9,-0.011282282046207959,-0.019967633241799176,-0.012236477932864531
1699920000000,0.00017382,8.0,98.14814814814815,9,0.006448517416754562,-0.024897528342495145,-0.008502063141732963
1699948800000,0.00016369,8.0,97.4074074074074,9,-0.015135376627338992,-0.028925023223377422,-0.012149708379757373
1699977600001,0.00014477,8.0,96.29629629629629,9,-0.016255867408327296,0.007703350473403425,-0.0016319485742578577
1700006400000,0.0001,8.0,73.70370370370371,7,0.0022915530262559436,0.06479893379520552,0.029483711697323667
1700035200000,0.0001,8.0,73.70370370370371,7,0.02201313438195185,0.05164544462491838,0.022125346103027077
1700064000000,0.0001,8.0,73.70370370370371,7,0.039482207753708254,0.00018390627916442526,0.006293986539158469
1700092800000,0.0001,8.0,73.70370370370371,7,-0.01008978082915235,-0.04506469500924215,-0.03407710588856616
1700121600000,0.00015199,8.0,96.66666666666667,9,-0.02799836747323803,-0.032682545568036736,-0.0232581713032739
1700150400001,0.00012014,8.0,95.55555555555556,9,-0.007544259748671123,-0.009446104785349574,0.0037789907871661477
