ts,entry_ts,exit_ts,leg,net_bp,year
1630684800002,1630684860000,1630771260000,top,-151.05694857093832,2021
1630713600003,1630713660000,1630800060000,top,-136.0227440645305,2021
1630742400008,1630742460000,1630828860000,top,-129.7036598679717,2021
1630771200009,1630771260000,1630857660000,top,-32.262930077975746,2021
1630800000002,1630800060000,1630886460000,top,142.99579750934944,2021
1630828800002,1630828860000,1630915260000,top,181.2774193548379,2021
1630857600000,1630857660000,1630944060000,top,33.248521088070206,2021
1630886400003,1630886460000,1630972860000,top,-71.57117948795853,2021
1630915200008,1630915260000,1631001660000,top,-181.08558295175257,2021
1630944000009,1630944060000,1631030460000,top,-1234.2175063074794,2021
1630972800004,1630972860000,1631059260000,top,-1241.6781169188166,2021
1631001600002,1631001660000,1631088060000,top,-1592.6194930830488,2021
1632441600000,1632441660000,1632528060000,bottom,704.5885310210882,2021
1632499200000,1632499260000,1632585660000,bottom,-166.51438404978447,2021
1632528000007,1632528060000,1632614460000,bottom,3.986903072476636,2021
1632556800002,1632556860000,1632643260000,bottom,398.0385593880338,2021
1632787200000,1632787260000,1632873660000,bottom,378.00375359176974,2021
1632844800000,1632844860000,1632931260000,bottom,-82.34594374034886,2021
1632873600000,1632873660000,1632960060000,bottom,-164.42364574162193,2021
1632902400002,1632902460000,1632988860000,bottom,-304.7383046945644,2021
1632960000000,1632960060000,1633046460000,bottom,-539.3879569182574,2021
1633564800007,1633564860000,1633651260000,top,38.653961077475664,2021
1633968000006,1633968060000,1634054460000,top,-279.5946231183692,2021
1634227200000,1634227260000,1634313660000,top,-53.00272704127738,2021
1634256000005,1634256060000,1634342460000,top,191.40742829583624,2021
1634284800002,1634284860000,1634371260000,top,99.77972685521654,2021
1634400000003,1634400060000,1634486460000,top,-318.4807429105001,2021
1634457600002,1634457660000,1634544060000,top,-124.92038181317432,2021
1634486400002,1634486460000,1634572860000,top,-83.5527358025072,2021
1634544000004,1634544060000,1634630460000,top,-100.86894448246885,2021
1634745600020,1634745660000,1634832060000,top,19.588603445777743,2021
1634774400000,1634774460000,1634860860000,top,-270.9815769444095,2021
1634803200000,1634803260000,1634889660000,top,-79.36104366750561,2021
1634832000008,1634832060000,1634918460000,top,-306.72064779309324,2021
1635062400012,1635062460000,1635148860000,top,115.02392607988978,2021
1635148800002,1635148860000,1635235260000,top,100.34166337891183,2021
1635177600022,1635177660000,1635264060000,top,-60.19946488389593,2021
1635264000000,1635264060000,1635350460000,top,-477.28031273329185,2021
1635321600000,1635321660000,1635408060000,top,-269.72726303237147,2021
1635408000000,1635408060000,1635494460000,bottom,-765.6969831134945,2021
1635436800005,1635436860000,1635523260000,bottom,-720.6088783440416,2021
1635580800001,1635580860000,1635667260000,top,-94.21905885485236,2021
1635667200010,1635667260000,1635753660000,bottom,2.0810019736823406,2021
1635840000007,1635840060000,1635926460000,top,590.4911363991789,2021
1635868800010,1635868860000,1635955260000,top,42.04373713451017,2021
1635897600019,1635897660000,1635984060000,bottom,-34.14642052933225,2021
1635984000006,1635984060000,1636070460000,top,-163.55673624123645,2021
1636214400007,1636214460000,1636300860000,bottom,-489.4666394010654,2021
1636416000000,1636416060000,1636502460000,bottom,134.19312937888296,2021
1636444800014,1636444860000,1636531260000,bottom,110.33994054761311,2021
1636473600001,1636473660000,1636560060000,bottom,-136.1641579570276,2021
1636646400007,1636646460000,1636732860000,bottom,309.9422025701388,2021
1636675200000,1636675260000,1636761660000,bottom,97.56566929867884,2021
1636704000000,1636704060000,1636790460000,bottom,117.26375073266527,2021
1636732800004,1636732860000,1636819260000,bottom,-253.2837005599091,2021
1636761600000,1636761660000,1636848060000,bottom,44.533282770176776,2021
1636790400004,1636790460000,1636876860000,bottom,82.23350828378396,2021
1636819200006,1636819260000,1636905660000,bottom,211.77333450012006,2021
1636848000010,1636848060000,1636934460000,bottom,-9.495796435861502,2021
1636876800001,1636876860000,1636963260000,bottom,-197.2992562430591,2021
1636905600000,1636905660000,1636992060000,bottom,-174.17207306554315,2021
1636992000000,1636992060000,1637078460000,bottom,772.0428129298502,2021
1637049600001,1637049660000,1637136060000,bottom,270.4602928765516,2021
1637078400018,1637078460000,1637164860000,bottom,249.9798277145,2021
1637107200005,1637107260000,1637193660000,bottom,-189.9253106518699,2021
1637136000007,1637136060000,1637222460000,bottom,-147.54365584110406,2021
1637164800003,1637164860000,1637251260000,bottom,258.31126763937795,2021
1637193600017,1637193660000,1637280060000,bottom,638.0050841330738,2021
1637222400007,1637222460000,1637308860000,bottom,411.6832338361183,2021
1637251200011,1637251260000,1637337660000,bottom,-402.57308927551236,2021
1637280000000,1637280060000,1637366460000,bottom,-734.8827726605915,2021
1637308800000,1637308860000,1637395260000,bottom,-546.9115823287633,2021
1637337600005,1637337660000,1637424060000,bottom,-4.848765175993629,2021
1637366400012,1637366460000,1637452860000,bottom,-281.9865867081843,2021
1637395200000,1637395260000,1637481660000,bottom,-179.07677038939627,2021
1637424000007,1637424060000,1637510460000,bottom,-391.4426634078054,2021
1637452800000,1637452860000,1637539260000,bottom,324.81864477074754,2021
1637481600006,1637481660000,1637568060000,bottom,357.7946950796458,2021
1637510400000,1637510460000,1637596860000,bottom,307.8231001941363,2021
1637539200004,1637539260000,1637625660000,bottom,414.0429473901515,2021
1637568000000,1637568060000,1637654460000,bottom,178.00209968743388,2021
1637596800000,1637596860000,1637683260000,bottom,-116.84774611515112,2021
1637625600004,1637625660000,1637712060000,bottom,-661.0412359512001,2021
1637654400010,1637654460000,1637740860000,bottom,-406.6891984926884,2021
1637683200005,1637683260000,1637769660000,bottom,12.894293732460106,2021
1637712000001,1637712060000,1637798460000,bottom,145.21499663938076,2021
1637740800003,1637740860000,1637827260000,bottom,-77.52921899322128,2021
1637769600010,1637769660000,1637856060000,bottom,-545.4339312932348,2021
1637798400000,1637798460000,1637884860000,bottom,-620.7219146393077,2021
1637827200010,1637827260000,1637913660000,bottom,-94.57331729930617,2021
1637942400016,1637942460000,1638028860000,bottom,-189.06833797128695,2021
1637971200005,1637971260000,1638057660000,bottom,-101.03658449287444,2021
1638000000008,1638000060000,1638086460000,bottom,120.71987281707288,2021
1638028800007,1638028860000,1638115260000,bottom,108.15044811086706,2021
1638057600018,1638057660000,1638144060000,bottom,-550.9968407632086,2021
1638086400000,1638086460000,1638172860000,bottom,-718.980654670515,2021
1638115200004,1638115260000,1638201660000,bottom,-654.3810531886744,2021
1638144000002,1638144060000,1638230460000,bottom,-336.5828926558405,2021
1638172800004,1638172860000,1638259260000,bottom,-133.94777097250164,2021
1638201600000,1638201660000,1638288060000,bottom,-689.988099514584,2021
1638230400000,1638230460000,1638316860000,bottom,-404.09892525372345,2021
1638259200006,1638259260000,1638345660000,bottom,-828.625850340136,2021
1638345600000,1638345660000,1638432060000,bottom,411.01441526445416,2021
1638374400001,1638374460000,1638460860000,bottom,393.6394639447045,2021
1638403200000,1638403260000,1638489660000,bottom,140.0446247818128,2021
1638432000007,1638432060000,1638518460000,bottom,-21.55493753489933,2021
1638460800008,1638460860000,1638547260000,bottom,168.82840072497032,2021
1638518400002,1638518460000,1638604860000,bottom,1491.7768052516408,2021
1638547200006,1638547260000,1638633660000,bottom,950.2540686653889,2021
1638576000006,1638576060000,1638662460000,bottom,181.34147315570016,2021
1638604800004,1638604860000,1638691260000,bottom,-829.4338384176651,2021
1638633600000,1638633660000,1638720060000,bottom,-117.25223435948328,2021
1638662400003,1638662460000,1638748860000,bottom,-205.69267101648347,2021
1638691200008,1638691260000,1638777660000,bottom,271.7993521341462,2021
1638720000007,1638720060000,1638806460000,bottom,-132.34115967456205,2021
1638748800009,1638748860000,1638835260000,bottom,-369.3101440035023,2021
1638777600001,1638777660000,1638864060000,bottom,-678.8424263377173,2021
1638806400000,1638806460000,1638892860000,bottom,-675.0891870560387,2021
1638835200018,1638835260000,1638921660000,bottom,75.82888860298965,2021
1638864000000,1638864060000,1638950460000,bottom,-56.60201031828448,2021
1638892800000,1638892860000,1638979260000,bottom,-55.73149247033603,2021
1638921600000,1638921660000,1639008060000,bottom,-304.24346140828385,2021
1638950400018,1638950460000,1639036860000,bottom,-30.620536664766483,2021
1638979200010,1638979260000,1639065660000,bottom,477.9594672764271,2021
1639008000010,1639008060000,1639094460000,bottom,707.6106983387472,2021
1639036800000,1639036860000,1639123260000,bottom,784.8846606557198,2021
1639065600000,1639065660000,1639152060000,bottom,416.1406206011327,2021
1639094400000,1639094460000,1639180860000,bottom,509.92734265547585,2021
1639123200008,1639123260000,1639209660000,bottom,108.70822517704505,2021
1639152000012,1639152060000,1639238460000,bottom,-131.09917155514836,2021
1639180800009,1639180860000,1639267260000,bottom,-480.2377361487979,2021
1639209600008,1639209660000,1639296060000,bottom,-213.82848851099357,2021
1639238400000,1639238460000,1639324860000,bottom,73.62721470638945,2021
1639267200001,1639267260000,1639353660000,bottom,-114.76652083756743,2021
1639296000015,1639296060000,1639382460000,bottom,145.99033499594418,2021
1639324800011,1639324860000,1639411260000,bottom,517.0326311236191,2021
1639353600006,1639353660000,1639440060000,bottom,838.7454948677249,2021
1639382400019,1639382460000,1639468860000,bottom,502.7151927596725,2021
1639411200000,1639411260000,1639497660000,bottom,56.203442961671584,2021
1639440000004,1639440060000,1639526460000,bottom,-228.41327814903045,2021
1639468800000,1639468860000,1639555260000,bottom,-216.337796848413,2021
1639497600015,1639497660000,1639584060000,bottom,322.1280104912767,2021
1639526400000,1639526460000,1639612860000,bottom,-457.30132245897545,2021
1639555200008,1639555260000,1639641660000,bottom,-442.5558899242226,2021
1639584000005,1639584060000,1639670460000,bottom,-1186.9766406023434,2021
1639612800006,1639612860000,1639699260000,bottom,150.11522592856608,2021
1639641600009,1639641660000,1639728060000,bottom,360.1662155249059,2021
1639670400000,1639670460000,1639756860000,bottom,609.513941706112,2021
1639699200000,1639699260000,1639785660000,bottom,183.00688930642363,2021
1639728000005,1639728060000,1639814460000,bottom,-58.090140990415975,2021
1639756800006,1639756860000,1639843260000,bottom,-316.024464895696,2021
1639785600014,1639785660000,1639872060000,bottom,-193.94461261029215,2021
1639814400012,1639814460000,1639900860000,bottom,-241.16297993444988,2021
1639843200000,1639843260000,1639929660000,bottom,53.075473850451985,2021
1639872000031,1639872060000,1639958460000,bottom,49.08836926814387,2021
1639900800000,1639900860000,1639987260000,bottom,389.1966406140119,2021
1639929600003,1639929660000,1640016060000,bottom,275.73930353337397,2021
1639958400015,1639958460000,1640044860000,bottom,-91.41928911775054,2021
1639987200007,1639987260000,1640073660000,bottom,-481.13807921196394,2021
1640016000005,1640016060000,1640102460000,bottom,-455.9657171692748,2021
1640044800003,1640044860000,1640131260000,bottom,-170.35305920794985,2021
1640073600012,1640073660000,1640160060000,bottom,-139.08625776319838,2021
1640102400005,1640102460000,1640188860000,bottom,-98.97399936571392,2021
1640131200000,1640131260000,1640217660000,bottom,72.51534981860887,2021
1640160000001,1640160060000,1640246460000,bottom,355.5856699434774,2021
1640188800006,1640188860000,1640275260000,bottom,129.90751583581607,2021
1640217600011,1640217660000,1640304060000,bottom,-334.84474307070286,2021
1640246400000,1640246460000,1640332860000,bottom,-490.61538461538424,2021
1640275200000,1640275260000,1640361660000,bottom,-386.13730792994727,2021
1640304000005,1640304060000,1640390460000,bottom,161.316147859923,2021
1640332800000,1640332860000,1640419260000,bottom,68.11205419640378,2021
1640361600011,1640361660000,1640448060000,bottom,12.293688538198133,2021
1640390400000,1640390460000,1640476860000,bottom,-133.90366122017537,2021
1640419200001,1640419260000,1640505660000,bottom,39.57411661932821,2021
1640448000005,1640448060000,1640534460000,bottom,59.31216786160999,2021
1640476800004,1640476860000,1640563260000,bottom,37.34100554013199,2021
1640505600002,1640505660000,1640592060000,bottom,-61.66016146399377,2021
1640534400000,1640534460000,1640620860000,bottom,-112.85779667202499,2021
1640563200002,1640563260000,1640649660000,bottom,77.65650446481321,2021
1640592000005,1640592060000,1640678460000,bottom,322.23633584619614,2021
1640620800000,1640620860000,1640707260000,bottom,462.850913583744,2021
1640649600000,1640649660000,1640736060000,bottom,566.3110608226136,2021
1640678400012,1640678460000,1640764860000,bottom,284.1608008871495,2021
1640707200000,1640707260000,1640793660000,bottom,260.06849020030097,2021
1640736000006,1640736060000,1640822460000,bottom,407.76275811928286,2021
1640764800003,1640764860000,1640851260000,bottom,197.58976763050453,2021
1640793600004,1640793660000,1640880060000,bottom,205.41722489804195,2021
1640822400003,1640822460000,1640908860000,bottom,-204.9188416160168,2021
1640851200001,1640851260000,1640937660000,bottom,-11.632263636681005,2021
1640880000017,1640880060000,1640966460000,bottom,-209.22911051212955,2021
1640908800006,1640908860000,1640995260000,bottom,43.94058593665663,2021
1640937600009,1640937660000,1641024060000,bottom,-5.953172307072029,2021
1640966400000,1640966460000,1641052860000,bottom,126.86182692078842,2021
1640995200006,1640995260000,1641081660000,bottom,-234.4638916409918,2022
1641024000009,1641024060000,1641110460000,bottom,-97.17262629418343,2022
1641052800000,1641052860000,1641139260000,bottom,-147.64975932853352,2022
1641081600028,1641081660000,1641168060000,bottom,-164.666486068729,2022
1641110400000,1641110460000,1641196860000,bottom,-198.9002575033931,2022
1641139200000,1641139260000,1641225660000,bottom,-10.692237873082698,2022
1641168000010,1641168060000,1641254460000,bottom,120.51072736787029,2022
1641196800013,1641196860000,1641283260000,bottom,115.14190397759205,2022
