ts,oi_signal_ts,funding_pctile,oi_chg_7d_pctile,entry_ts,exit_ts,net_bp,year
1697472000000,1697414100000,82.5925925925926,78.88888888888889,1697472060000,1697731260000,-227.08654904517167,2023
1698796800000,1698796500000,78.14814814814814,76.66666666666667,1698796860000,1699056060000,-23.74909070980745,2023
1698825600000,1698796500000,78.14814814814814,76.66666666666667,1698825660000,1699084860000,-90.37883670941426,2023
1698854400000,1698796500000,78.14814814814814,76.66666666666667,1698854460000,1699113660000,-133.4752186588932,2023
1702252800000,1702252500000,93.7037037037037,80.0,1702252860000,1702512060000,185.324548043176,2023
1703203200000,1703202900000,99.62962962962963,90.0,1703203260000,1703462460000,192.72028865669435,2023
1703232000000,1703202900000,98.88888888888889,90.0,1703232060000,1703491260000,88.09220345190673,2023
1703260800000,1703202900000,93.7037037037037,90.0,1703260860000,1703520060000,-5.304327927523765,2023
1703404800000,1703375700000,95.55555555555556,87.77777777777777,1703404860000,1703664060000,255.6111544917257,2023
1703433600000,1703375700000,93.33333333333333,87.77777777777777,1703433660000,1703692860000,141.03875968992386,2023
1703548800000,1703548500000,100.0,76.66666666666667,1703548860000,1703808060000,213.4639058055561,2023
1703577600000,1703548500000,95.92592592592592,76.66666666666667,1703577660000,1703836860000,87.72906688359018,2023
1703606400000,1703548500000,97.77777777777777,76.66666666666667,1703606460000,1703865660000,13.696133845807047,2023
1703635200000,1703634900000,96.66666666666667,85.55555555555556,1703635260000,1703894460000,93.46319174141261,2023
1703664000000,1703634900000,99.62962962962963,85.55555555555556,1703664060000,1703923260000,104.44331641286065,2023
1703692800000,1703634900000,98.51851851851852,85.55555555555556,1703692860000,1703952060000,110.29596625288974,2023
1707926400000,1707868500000,81.85185185185185,88.88888888888889,1707926460000,1708185660000,126.62161409157059,2024
1708185600000,1708090200000,84.07407407407408,83.33333333333334,1708185660000,1708444860000,-153.1734369480746,2024
1710288000000,1710287700000,80.37037037037037,86.66666666666667,1710288060000,1710547260000,260.5733652368376,2024
1710316800001,1710287700000,96.66666666666667,86.66666666666667,1710316860000,1710576060000,480.222273348508,2024
1710345600000,1710287700000,88.14814814814815,86.66666666666667,1710345660000,1710604860000,573.247906276076,2024
