ts,entry_ts,exit_ts,oi_chg_24h,horizon,gross_ret,net_bp,year
1681948500000,1681948560000,1682207760000,neg5pct,72h,-0.031530669755272744,-329.3066975527274,2023
1682553300000,1682553360000,1682812560000,neg5pct,72h,0.022420875384763894,210.20875384763895,2023
1683417300000,1683417360000,1683676560000,neg5pct,72h,-0.026146065697395415,-275.46065697395414,2023
1683503700000,1683503760000,1683762960000,neg5pct,72h,-0.01570554640542443,-171.0554640542443,2023
1686095700000,1686095760000,1686354960000,neg5pct,72h,-0.022577440621331157,-239.77440621331158,2023
1686959700000,1686959760000,1687218960000,neg5pct,72h,0.009845190062820697,84.45190062820697,2023
1688342100000,1688342160000,1688601360000,neg5pct,72h,-0.014137868738224868,-155.37868738224867,2023
1688514900000,1688514960000,1688774160000,neg5pct,72h,-0.033802220063253174,-352.02220063253174,2023
1689378900000,1689378960000,1689638160000,neg5pct,72h,-0.012543960669080145,-139.43960669080144,2023
1690156500000,1690156560000,1690415760000,neg5pct,72h,-0.00950439478979126,-109.0439478979126,2023
1690761300000,1690761360000,1691020560000,neg5pct,72h,-0.012391254117432138,-137.91254117432138,2023
1691538900000,1691538960000,1691798160000,neg5pct,72h,-0.004008815082627959,-54.08815082627959,2023
1692316500000,1692316560000,1692575760000,neg5pct,72h,-0.00019003390917571306,-15.90033909175713,2023
1692402900000,1692402960000,1692662160000,neg5pct,72h,0.0035045040705234953,21.045040705234953,2023
1692489300000,1692489360000,1692748560000,neg5pct,72h,-0.020722530355269053,-221.22530355269052,2023
1696290900000,1696290960000,1696550160000,neg5pct,72h,-0.031244173668288577,-326.4417366828858,2023
1698105300000,1698105360000,1698364560000,neg5pct,72h,0.021861669282060348,204.61669282060348,2023
1698191700000,1698191760000,1698450960000,neg5pct,72h,-0.0007351579467207436,-21.351579467207436,2023
1698969300000,1698969360000,1699228560000,neg5pct,72h,0.05186514506683859,504.6514506683859,2023
1699401300000,1699401360000,1699660560000,neg5pct,72h,0.10127628025207858,998.7628025207857,2023
1702338900000,1702338960000,1702598160000,neg5pct,72h,0.04163782330783139,402.3782330783139,2023
1703894100000,1703894160000,1704153360000,neg5pct,72h,0.022310002129314555,209.10002129314555,2023
1704326100000,1704326160000,1704585360000,neg5pct,72h,0.012907894439293521,115.07894439293523,2024
1706054100000,1706054160000,1706313360000,neg5pct,72h,0.01184157709290412,104.4157709290412,2024
1708991700000,1708991760000,1709250960000,neg5pct,72h,0.053592378364267335,521.9237836426734,2024
1709596500000,1709596560000,1709855760000,neg5pct,72h,0.06599862829944936,645.9862829944935,2024
1709682900000,1709682960000,1709942160000,neg5pct,72h,0.09267022179266027,912.7022179266027,2024
1710978900000,1710978960000,1711238160000,neg5pct,72h,-0.051213712361263486,-526.1371236126348,2024
1712966100000,1712966160000,1713225360000,neg5pct,72h,-0.04469220360089887,-460.9220360089887,2024
1713052500000,1713052560000,1713311760000,neg5pct,72h,0.022244490307852693,208.44490307852692,2024
1714607700000,1714607760000,1714866960000,neg5pct,72h,0.047607996663572516,462.07996663572516,2024
1718236500000,1718236560000,1718495760000,neg5pct,72h,0.000974160874105845,-4.2583912589415505,2024
1718668500000,1718668560000,1718927760000,neg5pct,72h,0.00017085109472825266,-12.291489052717473,2024
1720223700000,1720223760000,1720482960000,neg5pct,72h,0.011913586251077524,105.13586251077524,2024
1721951700000,1721951760000,1722210960000,neg5pct,72h,0.030323556283671005,289.2355628367101,2024
1722124500000,1722124560000,1722383760000,neg5pct,72h,0.0080750059194159,66.75005919415901,2024
1722729300000,1722729360000,1722988560000,neg5pct,72h,-0.15488638475676497,-1562.8638475676498,2024
1722902100000,1722902160000,1723161360000,neg5pct,72h,0.10954051906779672,1081.405190677967,2024
1728345300000,1728345360000,1728604560000,neg5pct,72h,-0.015716054477919905,-171.16054477919906,2024
1728690900000,1728690960000,1728950160000,neg5pct,72h,0.07972573493184454,783.2573493184453,2024
1731282900000,1731282960000,1731542160000,neg5pct,72h,-0.0013641837477106344,-27.641837477106343,2024
1733442900000,1733442960000,1733702160000,neg5pct,72h,0.06145238114107743,600.5238114107743,2024
1734738900000,1734738960000,1734998160000,neg5pct,72h,-0.01473753360244101,-161.3753360244101,2024
1738626900000,1738626960000,1738886160000,neg5pct,72h,-0.06606554413870769,-674.6554413870768,2025
1742514900000,1742514960000,1742774160000,neg5pct,72h,0.00895956090079908,75.59560900799079,2025
1746316500000,1746316560000,1746575760000,neg5pct,72h,-0.008651132834460507,-100.51132834460506,2025
1747007700000,1747007760000,1747266960000,neg5pct,72h,0.04286056444852493,414.6056444852493,2025
1747266900000,1747266960000,1747526160000,neg5pct,72h,-0.05410588446948672,-555.0588446948672,2025
1747612500000,1747612560000,1747871760000,neg5pct,72h,0.023257866277297312,218.57866277297313,2025
1748649300000,1748649360000,1748908560000,neg5pct,72h,0.031164845421575826,297.64845421575825,2025
1749167700000,1749167760000,1749426960000,neg5pct,72h,0.03641222510879816,350.12225108798157,2025
1749858900000,1749858960000,1750118160000,neg5pct,72h,-0.010678823698445528,-120.78823698445528,2025
1750550100000,1750550160000,1750809360000,neg5pct,72h,0.07225740246982881,708.5740246982881,2025
1752278100000,1752278160000,1752537360000,neg5pct,72h,0.01913673203499089,177.36732034990888,2025
1752796500000,1752796560000,1753055760000,neg5pct,72h,0.08188986798081688,804.8986798081688,2025
1753228500000,1753228560000,1753487760000,neg5pct,72h,-0.004387535338096771,-57.87535338096771,2025
1756166100000,1756166160000,1756425360000,neg5pct,72h,0.028773826042503448,273.73826042503447,2025
1757807700000,1757807760000,1758066960000,neg5pct,72h,-0.035305668758266795,-367.05668758266796,2025
1758585300000,1758585360000,1758844560000,neg5pct,72h,-0.08019107414849713,-815.9107414849714,2025
1760140500000,1760140560000,1760399760000,neg5pct,72h,0.11040190673249417,1090.0190673249417,2025
1763164500000,1763164560000,1763423760000,neg5pct,72h,-0.026376589610255796,-277.765896102558,2025
1763769300000,1763769360000,1764028560000,neg5pct,72h,0.06876414257526098,673.6414257526097,2025
1765929300000,1765929360000,1766188560000,neg5pct,72h,0.005232191140381426,38.321911403814255,2025
1768434900000,1768434960000,1768694160000,neg5pct,72h,-0.014624160853850765,-160.24160853850765,2026
1769903700000,1769903760000,1770162960000,neg5pct,72h,-0.08720516116355426,-886.0516116355426,2026
1770594900000,1770594960000,1770854160000,neg5pct,72h,-0.07284916948601783,-742.4916948601783,2026
1770767700000,1770767760000,1771026960000,neg5pct,72h,0.014222046152322365,128.22046152322366,2026
1772754900000,1772754960000,1773014160000,neg5pct,72h,-0.06428195889466093,-656.8195889466093,2026
1773878100000,1773878160000,1774137360000,neg5pct,72h,-0.05294771464216852,-543.4771464216852,2026
1775174100000,1775174160000,1775433360000,neg5pct,72h,0.025618082436927203,242.18082436927205,2026
1776038100000,1776038160000,1776297360000,neg5pct,72h,0.07580408989932619,744.0408989932619,2026
1776383700000,1776383760000,1776642960000,neg5pct,72h,-0.03466194901526154,-360.6194901526154,2026
1776556500000,1776556560000,1776815760000,neg5pct,72h,-0.010122422570703615,-115.22422570703615,2026
1776988500000,1776988560000,1777247760000,neg5pct,72h,0.016559787787478575,151.59787787478575,2026
1778802900000,1778802960000,1779062160000,neg5pct,72h,-0.06704645048203328,-684.4645048203328,2026
1780617300000,1780617360000,1780876560000,neg5pct,72h,-0.04944146218933265,-508.4146218933265,2026
1784246100000,1784246160000,1784505360000,neg5pct,72h,0.00437506374709451,29.750637470945094,2026
