ts,oi_chg_24h,horizon,gross_ret,net_bp,year
1720655700000,neg5pct,24h,-0.006100678527171444,-75.00678527171443,2024
1720828500000,neg5pct,24h,0.022384075985274254,209.84075985274254,2024
1722902100000,neg5pct,24h,0.03657153657153667,351.71536571536666,2024
1729209300000,neg5pct,24h,0.0161623813555547,147.623813555547,2024
1729900500000,neg5pct,24h,0.005658049943719323,42.58049943719323,2024
1730505300000,neg5pct,24h,-0.003593377487252858,-49.93377487252858,2024
1734393300000,neg5pct,24h,0.0004644931784645312,-9.355068215354688,2024
1738626900000,neg5pct,24h,-0.033419545903257575,-348.19545903257574,2025
1740009300000,neg5pct,24h,0.018032559305633633,166.32559305633634,2025
1740527700000,neg5pct,24h,-0.05402103826767002,-554.2103826767002,2025
1741046100000,neg5pct,24h,0.013094266411082023,116.94266411082023,2025
1742514900000,neg5pct,24h,-0.0031930344150018497,-45.9303441500185,2025
1743033300000,neg5pct,24h,0.00366749010606493,22.674901060649304,2025
1750722900000,neg5pct,24h,0.004554912154588031,31.54912154588031,2025
1759881300000,neg5pct,24h,0.014965420714638578,135.65420714638577,2025
1760140500000,neg5pct,24h,-0.020062250550493932,-214.6225055049393,2025
1761177300000,neg5pct,24h,0.022500769237204787,211.00769237204787,2025
1763769300000,neg5pct,24h,-0.0037450760600954425,-51.450760600954425,2025
1769903700000,neg5pct,24h,-0.022099981189341977,-234.99981189341977,2026
1770422100000,neg5pct,24h,-0.017954698521853274,-193.54698521853274,2026
1772754900000,neg5pct,24h,-0.038790401373491545,-401.90401373491545,2026
1773878100000,neg5pct,24h,-0.01874792968508754,-201.4792968508754,2026
1776038100000,neg5pct,24h,0.05334728033472813,519.4728033472813,2026
1776556500000,neg5pct,24h,-0.024175109628545077,-255.75109628545079,2026
1778111700000,neg5pct,24h,-0.017417317804314658,-188.17317804314658,2026
1778889300000,neg5pct,24h,-0.01183027924314528,-132.30279243145281,2026
1780617300000,neg5pct,24h,-0.04620301404981053,-476.0301404981053,2026
1680566100000,neg5pct,72h,0.008643229110395723,72.43229110395723,2023
1681516500000,neg5pct,72h,-0.034462265854579455,-358.62265854579454,2023
1682553300000,neg5pct,72h,0.02926201927311811,278.62019273118113,2023
1683417300000,neg5pct,72h,-0.042301559792027765,-437.0155979202776,2023
1683762900000,neg5pct,72h,-0.029814411627258286,-312.14411627258283,2023
1685145300000,neg5pct,72h,0.03872717194265074,373.2717194265074,2023
1686095700000,neg5pct,72h,-0.027088210325933115,-284.88210325933113,2023
1686182100000,neg5pct,72h,-0.0197075941245477,-211.075941245477,2023
1688169300000,neg5pct,72h,0.02200257927327498,206.0257927327498,2023
1688687700000,neg5pct,72h,0.006698948071464317,52.989480714643165,2023
1689378900000,neg5pct,72h,-0.005100390204609839,-65.00390204609839,2023
1690156500000,neg5pct,72h,-0.024115103127079207,-255.15103127079206,2023
1692057300000,neg5pct,72h,-0.09466850218392553,-960.6850218392553,2023
1692316500000,neg5pct,72h,-0.017289670501306587,-186.89670501306585,2023
1692402900000,neg5pct,72h,0.00271460549909186,13.1460549909186,2023
1692489300000,neg5pct,72h,-0.0019559114547379464,-33.559114547379465,2023
1693526100000,neg5pct,72h,0.0016784155756965902,2.7841557569659017,2023
1694822100000,neg5pct,72h,0.004249164068076627,28.491640680766274,2023
1696031700000,neg5pct,72h,0.024035547623031617,226.35547623031616,2023
1697500500000,neg5pct,72h,0.006602223907000271,52.02223907000271,2023
1697673300000,neg5pct,72h,0.05568372520270626,542.8372520270626,2023
1698969300000,neg5pct,72h,0.00318452184919904,17.8452184919904,2023
1699574100000,neg5pct,72h,0.00782118954962896,64.2118954962896,2023
1701561300000,neg5pct,72h,0.11907936765466398,1176.7936765466397,2023
1702338900000,neg5pct,72h,0.042705178220940665,413.05178220940667,2023
1704326100000,neg5pct,72h,0.02611503786260183,247.15037862601832,2024
1704498900000,neg5pct,72h,0.0637325124894601,623.325124894601,2024
1704844500000,neg5pct,72h,-0.06916363983527107,-705.6363983527108,2024
1709164500000,neg5pct,72h,-0.007644249614027876,-90.44249614027876,2024
1709682900000,neg5pct,72h,0.06908830012046563,676.8830012046562,2024
1710546900000,neg5pct,72h,-0.02597326066397021,-273.7326066397021,2024
1712102100000,neg5pct,72h,0.036742226900706276,353.42226900706277,2024
1713052500000,neg5pct,72h,-0.006513591038197153,-79.13591038197153,2024
1714607700000,neg5pct,72h,0.09484716067337118,934.4716067337117,2024
1716249300000,neg5pct,72h,-0.04841110580538377,-498.1110580538377,2024
1716508500000,neg5pct,72h,0.009038440596754738,76.38440596754738,2024
1720223700000,neg5pct,72h,-0.0004411201628968797,-18.411201628968797,2024
1720655700000,neg5pct,72h,0.025686976264547523,242.86976264547525,2024
1720828500000,neg5pct,72h,0.11883237251856693,1174.3237251856692,2024
1722902100000,neg5pct,72h,0.1443831737949386,1429.8317379493858,2024
1729209300000,neg5pct,72h,0.024642395615168677,232.42395615168678,2024
1729900500000,neg5pct,72h,0.04812564917692219,467.2564917692219,2024
1730505300000,neg5pct,72h,-0.025336259033771125,-267.36259033771125,2024
1734393300000,neg5pct,72h,-0.07796593527872886,-793.6593527872886,2024
1738626900000,neg5pct,72h,-0.04682132280355378,-482.2132280355378,2025
1740009300000,neg5pct,72h,-0.0002444952313068738,-16.44495231306874,2025
1740527700000,neg5pct,72h,-0.04992169477060682,-513.2169477060681,2025
1741046100000,neg5pct,72h,0.04519367973500299,437.9367973500299,2025
1742514900000,neg5pct,72h,0.017308358607072805,159.08358607072805,2025
1743033300000,neg5pct,72h,-0.04875022159191633,-501.5022159191633,2025
1750722900000,neg5pct,72h,0.013594558762444642,121.94558762444643,2025
1759881300000,neg5pct,72h,-0.07048740326033254,-718.8740326033254,2025
1760140500000,neg5pct,72h,0.01909943967418548,176.9943967418548,2025
1761177300000,neg5pct,72h,0.03716136133139836,357.6136133139836,2025
1763769300000,neg5pct,72h,0.03791889510846502,365.1889510846502,2025
1769903700000,neg5pct,72h,-0.037720453286018585,-391.20453286018585,2026
1770422100000,neg5pct,72h,-0.0054361773776185895,-68.3617737761859,2026
1772754900000,neg5pct,72h,-0.06757046767607744,-689.7046767607744,2026
1773878100000,neg5pct,72h,-0.031025248016708362,-324.2524801670836,2026
1776038100000,neg5pct,72h,0.05666063553092826,552.6063553092827,2026
1776556500000,neg5pct,72h,0.008311680759562456,69.11680759562456,2026
1778111700000,neg5pct,72h,-0.009081527347781226,-104.81527347781227,2026
1778889300000,neg5pct,72h,-0.02681159053779969,-282.1159053779969,2026
1780617300000,neg5pct,72h,-0.011079270229958693,-124.79270229958694,2026
