offset_min,mean_ret_all,n_all,mean_ret_top_quartile_funding,n_top_quartile,mean_ret_bottom_quartile_funding,n_bottom_quartile,cum_ret_all,cum_ret_top_quartile,cum_ret_bottom_quartile
-45,6.0091491353024465e-06,6113.0,3.713157160804461e-05,976.0,1.6676739830607514e-06,2020.0,6.26097931155671e-05,0.0001715732048846449,2.207355002884904e-05
-44,-3.928836862153142e-06,6113.0,1.0695816359226576e-06,976.0,-1.7327677852281e-05,2020.0,5.868095625341396e-05,0.00017264278652056757,4.745872176568038e-06
-43,-1.2383106375593433e-05,6113.0,2.5239311808243603e-05,976.0,-2.6742078105361953e-05,2020.0,4.6297849877820525e-05,0.00019788209832881116,-2.1996205928793915e-05
-42,4.226781281441761e-06,6113.0,-1.6331282829241706e-05,976.0,1.7276903086535758e-05,2020.0,5.0524631159262285e-05,0.00018155081549956945,-4.719302842258158e-06
-41,-3.7730096449161953e-06,6113.0,-3.3101451408757915e-05,976.0,1.114801593714818e-05,2020.0,4.675162151434609e-05,0.00014844936409081152,6.428713094890022e-06
-40,-1.0209042468793332e-05,6113.0,-4.673479268467246e-05,976.0,-5.799709854596947e-07,2020.0,3.654257904555276e-05,0.00010171457140613906,5.848742109430327e-06
-39,1.1532729750579398e-05,6113.0,-3.504552733735155e-05,976.0,5.7611035451930984e-05,2020.0,4.807530879613216e-05,6.666904406878751e-05,6.345977756136132e-05
-38,1.1633260011395183e-05,6113.0,2.0876158940643366e-05,976.0,4.204745607352214e-06,2020.0,5.970856880752734e-05,8.754520300943088e-05,6.766452316871353e-05
-37,9.160931319738866e-06,6113.0,7.133971319090974e-06,976.0,3.345041935416651e-05,2020.0,6.886950012726621e-05,9.467917432852185e-05,0.00010111494252288005
-36,-2.79066639722941e-06,6113.0,1.3678165597587446e-05,976.0,7.141720887938345e-06,2020.0,6.60788337300368e-05,0.0001083573399261093,0.0001082566634108184
-35,2.4602637182240956e-05,6113.0,3.431911953868847e-05,976.0,3.0842677101736076e-05,2020.0,9.068147091227777e-05,0.00014267645946479775,0.00013909934051255446
-34,-3.774688168259252e-06,6113.0,-4.737919506163027e-06,976.0,-1.625110712001134e-05,2020.0,8.690678274401851e-05,0.00013793853995863474,0.0001228482333925431
-33,-1.9873882337773992e-05,6113.0,-4.6176861508717514e-05,976.0,-7.397705289360598e-06,2020.0,6.703290040624452e-05,9.176167844991722e-05,0.00011545052810318251
-32,8.004544591575528e-06,6113.0,-3.816284938273656e-05,976.0,2.285145972862071e-05,2020.0,7.503744499782005e-05,5.359882906718066e-05,0.00013830198783180322
-31,2.7946529006925355e-05,6113.0,5.36113467076059e-05,976.0,1.5996218723994222e-05,2020.0,0.00010298397400474541,0.00010721017577478657,0.00015429820655579743
-30,-2.5492167766890477e-05,6113.0,-2.9989203748833567e-05,976.0,-1.3737588965795685e-05,2020.0,7.749180623785494e-05,7.7220972025953e-05,0.00014056061759000173
-29,-2.3664065332324324e-05,6113.0,-1.9833227599322196e-05,976.0,-4.864896718700659e-05,2020.0,5.382774090553062e-05,5.73877444266308e-05,9.191165040299514e-05
-28,8.69863157593574e-06,6113.0,-4.260846915892732e-06,976.0,2.5126668101512576e-05,2020.0,6.252637248146636e-05,5.3126897510738065e-05,0.00011703831850450772
-27,-1.1066579298765857e-05,6113.0,9.67682121025134e-06,976.0,8.723945524362576e-06,2020.0,5.14597931827005e-05,6.280371872098941e-05,0.0001257622640288703
-26,6.425804645355388e-06,6113.0,-2.3204117743513967e-06,976.0,-3.071685718192549e-06,2020.0,5.788559782805589e-05,6.048330694663801e-05,0.00012269057831067775
-25,-1.219925517502406e-06,6113.0,1.5310676327932347e-06,976.0,-1.430298028059133e-05,2020.0,5.666567231055348e-05,6.201437457943124e-05,0.00010838759803008642
-24,-6.5591039442415555e-06,6113.0,-3.5682530922517465e-06,976.0,-1.4809991823252632e-05,2020.0,5.0106568366311925e-05,5.844612148717949e-05,9.357760620683378e-05
-23,1.2297355403245902e-05,6113.0,3.3463981756354917e-06,976.0,3.8152761956408846e-05,2020.0,6.240392376955783e-05,6.179251966281498e-05,0.00013173036816324264
-22,2.2236161919306946e-06,6113.0,-2.4756145659697853e-05,976.0,1.934469596576677e-05,2020.0,6.462753996148853e-05,3.7036374003117134e-05,0.00015107506412900942
-21,-7.399174705310178e-06,6113.0,-1.165888096022235e-05,976.0,-2.4916739790555292e-05,2020.0,5.722836525617835e-05,2.5377493042894785e-05,0.00012615832433845412
-20,1.4858291443143672e-05,6113.0,1.714350263925271e-05,976.0,3.541609034413398e-05,2020.0,7.208665669932202e-05,4.2520995682147496e-05,0.0001615744146825881
-19,-5.9726098806814715e-06,6113.0,1.1520589664469867e-05,976.0,-2.285030466974466e-05,2020.0,6.611404681864056e-05,5.404158534661736e-05,0.00013872411001284343
-18,-1.8551270057293123e-05,6113.0,-5.190004722475916e-06,976.0,-2.1853619012024648e-05,2020.0,4.756277676134743e-05,4.885158062414144e-05,0.00011687049100081879
-17,8.009697381126499e-06,6113.0,3.588681798472424e-05,976.0,1.554532852716678e-05,2020.0,5.557247414247393e-05,8.473839860886568e-05,0.00013241581952798558
-16,-1.22468476816918e-06,6113.0,5.52222318450407e-06,976.0,2.18660055629902e-05,2020.0,5.434778937430475e-05,9.026062179336976e-05,0.00015428182509097578
-15,5.329373510158974e-06,6113.0,1.1493192675654062e-06,976.0,-3.60955043838185e-05,2020.0,5.967716288446373e-05,9.140994106093516e-05,0.00011818632070715728
-14,-5.0536913374072516e-06,6113.0,1.993040480895659e-05,976.0,-2.4948446603825972e-05,2020.0,5.462347154705648e-05,0.00011134034586989174,9.32378741033313e-05
