ts,leg,net_bp,year
1647216000014,bottom,-912.998405711895,2022
1647244800005,bottom,-437.6063793271283,2022
1648281600006,bottom,-663.038515584075,2022
1648339200004,bottom,-662.1502295073116,2022
1649721600000,bottom,-90.10250087169312,2022
1649750400006,bottom,-37.03291663031448,2022
1649779200013,bottom,-61.93186561168339,2022
1649980800008,bottom,54.89085473276823,2022
1650009600002,bottom,290.3853475225633,2022
1650268800012,bottom,-767.4949339489549,2022
1650614400008,bottom,553.9975230737477,2022
1650672000000,bottom,-212.8607722552671,2022
1650700800000,bottom,-269.4067710965136,2022
1650729600012,bottom,273.8356259444281,2022
1650758400004,bottom,345.46835443038003,2022
1650787200003,bottom,164.79170841494152,2022
1650844800008,bottom,69.55515932213731,2022
1650873600018,bottom,-270.3300950132996,2022
1651017600012,bottom,-149.84523149886786,2022
1651046400000,bottom,85.85003268518366,2022
1651276800000,bottom,3.599655782873924,2022
1651795200005,bottom,656.5692624039294,2022
1652313600014,bottom,-278.8621663577866,2022
1652342400000,bottom,-583.9735440353516,2022
1652371200007,bottom,-371.28971219864513,2022
1653350400011,bottom,-72.57223737711692,2022
1654588800011,bottom,-178.72275108299073,2022
1655193600008,bottom,774.3107564142955,2022
1655280000016,bottom,651.1507642674592,2022
1655452800003,bottom,467.10765430926074,2022
1656604800000,bottom,39.23956760484694,2022
1656633600001,bottom,246.9340551230743,2022
1656691200005,bottom,-272.63187112506125,2022
1659513600020,bottom,-106.05653783967094,2022
1660320000005,bottom,-119.29168925399235,2022
1660348800012,bottom,107.73214007399235,2022
1660521600010,bottom,380.1657538646526,2022
1660924800009,bottom,-39.25287887487071,2022
1660982400005,bottom,-46.81185363468886,2022
1661011200000,bottom,-88.34228446373092,2022
1661068800013,bottom,-42.75740703262019,2022
1661097600000,bottom,-115.07565033894205,2022
1661126400011,bottom,44.843519997021644,2022
1661155200005,bottom,-337.5393255759855,2022
1661212800000,bottom,-65.41484299776566,2022
1661241600021,bottom,-54.529270098301765,2022
1661328000021,bottom,485.300725555899,2022
1661356800000,bottom,743.4840197632649,2022
1661587200007,bottom,-122.18073592538946,2022
1661616000008,bottom,79.08543931420333,2022
1661673600000,bottom,-116.2347009510316,2022
1661731200000,bottom,-238.06660197149986,2022
1661760000000,bottom,-5.056624629452987,2022
1661788800001,bottom,225.35527464451823,2022
1661875200010,bottom,-303.51225676017157,2022
1662508800013,bottom,-1373.58411090376,2022
1663113600000,bottom,173.46030485868536,2022
1663574400006,bottom,-284.73942076627054,2022
1663804800000,bottom,-260.43179960705197,2022
1663833600000,bottom,-102.38383838383868,2022
1663948800005,bottom,-217.93205831215732,2022
1667952000000,bottom,798.7766724360108,2022
1668009600004,bottom,132.01558586788133,2022
1668038400006,bottom,-608.5052727180977,2022
1668067200000,bottom,-14.0,2022
1668096000015,bottom,511.01872616345315,2022
1668124800000,bottom,722.9144440910536,2022
1668153600015,bottom,280.30902735789743,2022
1668182400027,bottom,158.0034424429473,2022
1668326400000,bottom,-23.729600668535454,2022
1668412800000,bottom,135.71623964096682,2022
1668470400014,bottom,-77.17972461356902,2022
1668499200009,bottom,50.64108749123842,2022
1668556800011,bottom,105.5381882770874,2022
1668614400008,bottom,-157.68148775538714,2022
1668672000000,bottom,-88.54950882902489,2022
1669075200000,bottom,-533.402265606168,2022
1669881600006,bottom,36.716532066785724,2022
1669996800017,bottom,-97.46288207025765,2022
1670227200011,bottom,268.8913156526258,2022
1672041600000,bottom,153.5506482861855,2022
1672646400008,bottom,-84.04729689277455,2023
1673683200001,top,101.5668277743227,2023
1673740800010,top,53.26937743690931,2023
1673769600002,top,247.6494706318706,2023
1673798400000,top,4.833652007648194,2023
1676563200001,top,-73.19868783540672,2023
1677312000015,bottom,-56.94651167824792,2023
1677340800015,bottom,-248.49726985010244,2023
1677628800016,bottom,333.867060918885,2023
1677830400013,bottom,-24.73441273816922,2023
1677859200000,bottom,-119.68901712350254,2023
1677888000001,bottom,-49.51642130626975,2023
1678003200000,bottom,166.65825591688343,2023
