ts,leg,net_bp,year
1679558400001,bottom,214.29398186672734,2023
1679702400015,bottom,2.992415402565797,2023
1679731200011,bottom,-4.061560080234493,2023
1679760000011,bottom,46.37812342765348,2023
1679788800000,bottom,170.94897959183686,2023
1679817600015,bottom,92.74124612676472,2023
1679932800000,bottom,23.845380965670913,2023
1679961600007,bottom,25.75667001963945,2023
1680220800003,bottom,142.9002562656596,2023
1680508800013,bottom,-5.0669939720064825,2023
1680566400002,bottom,118.81632535499187,2023
1680595200017,bottom,164.92906740542224,2023
1680624000008,bottom,-7.104458521351319,2023
1680796800000,bottom,-72.47495328765828,2023
1680854400005,bottom,77.98427852753267,2023
1680912000000,bottom,-1.7010678198252513,2023
1681027200024,bottom,127.34148921294053,2023
1681056000010,bottom,192.8552407871027,2023
1681430400001,bottom,13.600198932222764,2023
1681516800007,bottom,-69.54114018636369,2023
1681804800017,bottom,72.24596718691757,2023
1681920000000,bottom,-280.4228587053119,2023
1682726400004,bottom,-44.302409860567536,2023
1682928000008,bottom,-203.83800117512106,2023
1683936000000,bottom,-23.33225825718198,2023
1684137600005,bottom,-80.61994144745998,2023
1684166400008,bottom,-136.0340964727029,2023
1684598400020,bottom,-28.518368892817435,2023
1686009600000,bottom,567.8147894769577,2023
1686038400009,bottom,405.1307120167642,2023
1686787200000,bottom,169.37802890534994,2023
1687248000000,bottom,749.827788299507,2023
1687276800000,bottom,1004.0307080297113,2023
1688688000000,bottom,129.16303656863872,2023
1688745600000,bottom,-71.74694721454976,2023
1688947200000,bottom,70.25102826058017,2023
1689206400000,bottom,339.10543768543477,2023
1689264000000,bottom,98.35300212402154,2023
1689379200000,bottom,-15.288093720377415,2023
1689926400000,bottom,50.40639223358468,2023
1690012800000,bottom,-24.220372609401895,2023
1690041600000,bottom,-11.858385758264799,2023
1692345600000,bottom,-202.3291234156015,2023
1692403200000,bottom,-1.2887864823356452,2023
1692432000000,bottom,49.83980608755557,2023
1692460800000,bottom,-46.47671228689519,2023
1692489600000,bottom,23.931814782286025,2023
1692518400000,bottom,-40.3480862161547,2023
1692547200000,bottom,-70.34861006761804,2023
1692576000000,bottom,-34.40348464007358,2023
1692604800000,bottom,21.30049643726496,2023
1692633600000,bottom,-24.36984495346949,2023
