offset_min,mean_ret_all,n_all,mean_ret_top_quartile_funding,n_top_quartile,mean_ret_bottom_quartile_funding,n_bottom_quartile,cum_ret_all,cum_ret_top_quartile,cum_ret_bottom_quartile
-13,-1.7748234780412136e-06,6113.0,6.196004117032366e-06,1026.0,1.767061182918865e-05,2104.0,8.819405109317544e-05,0.0004024361300375041,8.455897402693204e-05
-12,7.219166948571521e-06,6113.0,-1.3103010373621189e-05,1026.0,2.2209613842786074e-06,2104.0,9.541321804174696e-05,0.0003893331196638829,8.677993541121065e-05
-11,-2.9110929174678013e-05,6113.0,1.596508852570611e-06,1026.0,-3.6946064696399586e-05,2104.0,6.630228886706895e-05,0.00039092962851645355,4.9833870714811066e-05
-10,-3.522868468267637e-06,6113.0,3.35220968255026e-05,1026.0,-1.7656667765831252e-05,2104.0,6.277942039880132e-05,0.00042445172534195615,3.217720294897981e-05
-9,-1.8310080123203434e-05,6113.0,-1.8602445733862866e-06,1026.0,-4.707104726627769e-05,2104.0,4.4469340275597884e-05,0.00042259148076856986,-1.4893844317297875e-05
-8,-5.632783818311838e-06,6113.0,-1.4126928418825953e-05,1026.0,2.454747319714415e-06,2104.0,3.8836556457286044e-05,0.0004084645523497439,-1.243909699758346e-05
-7,-8.750174420951895e-06,6113.0,4.308461520761588e-06,1026.0,1.0198442415054869e-05,2104.0,3.008638203633415e-05,0.00041277301387050545,-2.240654582528591e-06
-6,-4.446453148411299e-06,6113.0,6.275996888094088e-06,1026.0,-1.4774749891565334e-05,2104.0,2.563992888792285e-05,0.00041904901075859953,-1.7015404474093926e-05
-5,-4.312809841218423e-06,6113.0,3.044374975026684e-05,1026.0,-2.3724130613821986e-05,2104.0,2.1327119046704428e-05,0.0004494927605088664,-4.0739535087915915e-05
-4,1.2570613199399191e-05,6113.0,7.294026356646463e-06,1026.0,2.7164456645413858e-05,2104.0,3.389773224610362e-05,0.00045678678686551284,-1.3575078442502058e-05
-3,-8.144617838139596e-06,6113.0,-1.7425861847098215e-05,1026.0,3.0280188023212103e-05,2104.0,2.5753114407964025e-05,0.00043936092501841464,1.6705109580710046e-05
-2,1.991543796516963e-05,6113.0,9.232331178046884e-06,1026.0,4.350302331005855e-05,2104.0,4.566855237313365e-05,0.0004485932561964615,6.02081328907686e-05
-1,5.631244518407677e-05,6113.0,6.63461840808793e-05,1026.0,1.7644366887124098e-05,2104.0,0.00010198099755721042,0.0005149394402773408,7.78524997778927e-05
0,6.636736930544947e-05,6113.0,0.00015845508701900794,1026.0,6.274030448069475e-06,2104.0,0.0001683483668626599,0.0006733945272963487,8.412653022596216e-05
1,-5.0733117076208046e-05,6113.0,-3.131624410523212e-05,1026.0,-9.179224058256546e-05,2104.0,0.00011761524978645186,0.0006420782831911166,-7.665710356603294e-06
2,-4.337422424435433e-05,6113.0,-5.231159687703711e-05,1026.0,-0.00012143602569654656,2104.0,7.424102554209753e-05,0.0005897666863140795,-0.00012910173605314986
3,1.592985328293829e-05,6113.0,-4.601509400340195e-06,1026.0,1.4615695276758626e-05,2104.0,9.017087882503581e-05,0.0005851651769137393,-0.00011448604077639123
4,8.517539990758649e-06,6113.0,-4.395302304951354e-05,1026.0,2.7455823834495083e-05,2104.0,9.868841881579446e-05,0.0005412121538642257,-8.703021694189615e-05
