symbol,regime,start_date,end_date,observations,calendar_days,cumulative_next_return,max_drawdown
BTCUSDT,uptrend_low_vol,2023-09-12 00:00:00+00:00,2023-09-16 00:00:00+00:00,5,5,0.02665551503,-0.002891945049
BTCUSDT,downtrend_low_vol,2023-09-17 00:00:00+00:00,2023-10-21 00:00:00+00:00,35,35,0.1307714357,-0.04422223334
BTCUSDT,uptrend_low_vol,2023-10-22 00:00:00+00:00,2023-11-20 00:00:00+00:00,30,30,0.1919683805,-0.05671284076
BTCUSDT,uptrend_high_vol,2023-11-21 00:00:00+00:00,2023-11-21 00:00:00+00:00,1,1,0.04690936564,0
BTCUSDT,uptrend_low_vol,2023-11-22 00:00:00+00:00,2023-12-10 00:00:00+00:00,19,19,0.1031074428,-0.06646761443
BTCUSDT,uptrend_high_vol,2023-12-11 00:00:00+00:00,2023-12-14 00:00:00+00:00,4,4,0.01688837198,-0.02473485095
BTCUSDT,uptrend_low_vol,2023-12-15 00:00:00+00:00,2024-01-07 00:00:00+00:00,24,24,0.1192503812,-0.04736125994
BTCUSDT,uptrend_high_vol,2024-01-08 00:00:00+00:00,2024-01-09 00:00:00+00:00,2,2,-0.00659532026,-0.01828083121
BTCUSDT,uptrend_low_vol,2024-01-10 00:00:00+00:00,2024-01-11 00:00:00+00:00,2,2,-0.08302098669,-0.08302098669
BTCUSDT,uptrend_high_vol,2024-01-12 00:00:00+00:00,2024-02-06 00:00:00+00:00,26,26,0.03592754196,-0.08267451835
BTCUSDT,uptrend_low_vol,2024-02-07 00:00:00+00:00,2024-03-03 00:00:00+00:00,26,26,0.5407682138,-0.02916971016
BTCUSDT,uptrend_high_vol,2024-03-04 00:00:00+00:00,2024-06-01 00:00:00+00:00,90,90,-0.007181930526,-0.202659461
BTCUSDT,downtrend_low_vol,2024-06-02 00:00:00+00:00,2024-06-02 00:00:00+00:00,1,1,0.01541901221,0
BTCUSDT,uptrend_low_vol,2024-06-03 00:00:00+00:00,2024-06-03 00:00:00+00:00,1,1,0.0251062433,0
BTCUSDT,uptrend_high_vol,2024-06-04 00:00:00+00:00,2024-06-04 00:00:00+00:00,1,1,0.007839331255,0
BTCUSDT,uptrend_low_vol,2024-06-05 00:00:00+00:00,2024-06-08 00:00:00+00:00,4,4,-0.02061200591,-0.02511903708
BTCUSDT,downtrend_low_vol,2024-06-09 00:00:00+00:00,2024-06-13 00:00:00+00:00,5,5,-0.05206761872,-0.05206761872
BTCUSDT,uptrend_low_vol,2024-06-14 00:00:00+00:00,2024-06-14 00:00:00+00:00,1,1,0.002634778777,0
BTCUSDT,downtrend_low_vol,2024-06-15 00:00:00+00:00,2024-06-16 00:00:00+00:00,2,2,0.003902515643,-0.002723033715
BTCUSDT,uptrend_low_vol,2024-06-17 00:00:00+00:00,2024-06-17 00:00:00+00:00,1,1,-0.01988954764,-0.01988954764
BTCUSDT,downtrend_low_vol,2024-06-18 00:00:00+00:00,2024-06-19 00:00:00+00:00,2,2,-0.004543361474,-0.004543361474
BTCUSDT,uptrend_low_vol,2024-06-20 00:00:00+00:00,2024-06-21 00:00:00+00:00,2,2,-0.009467419126,-0.01125605206
BTCUSDT,downtrend_low_vol,2024-06-22 00:00:00+00:00,2024-07-14 00:00:00+00:00,23,23,0.006858655044,-0.1309013076
BTCUSDT,uptrend_high_vol,2024-07-15 00:00:00+00:00,2024-08-01 00:00:00+00:00,18,18,-0.04942594843,-0.09868431661
BTCUSDT,downtrend_high_vol,2024-08-02 00:00:00+00:00,2024-08-07 00:00:00+00:00,6,6,0.002864173757,-0.1216680193
BTCUSDT,uptrend_high_vol,2024-08-08 00:00:00+00:00,2024-08-08 00:00:00+00:00,1,1,-0.01380478042,-0.01380478042
BTCUSDT,downtrend_high_vol,2024-08-09 00:00:00+00:00,2024-09-20 00:00:00+00:00,43,43,0.04130994629,-0.1598764297
BTCUSDT,uptrend_high_vol,2024-09-21 00:00:00+00:00,2024-09-21 00:00:00+00:00,1,1,0.003755491894,0
BTCUSDT,uptrend_low_vol,2024-09-22 00:00:00+00:00,2024-10-12 00:00:00+00:00,21,21,-0.01130613735,-0.08400458201
BTCUSDT,downtrend_low_vol,2024-10-13 00:00:00+00:00,2024-10-13 00:00:00+00:00,1,1,0.05132256945,0
BTCUSDT,uptrend_low_vol,2024-10-14 00:00:00+00:00,2024-10-24 00:00:00+00:00,11,11,0.009050191554,-0.03437984008
BTCUSDT,downtrend_low_vol,2024-10-25 00:00:00+00:00,2024-10-26 00:00:00+00:00,2,2,0.01994815699,0
BTCUSDT,uptrend_low_vol,2024-10-27 00:00:00+00:00,2024-11-05 00:00:00+00:00,10,10,0.1115900848,-0.06743516246
BTCUSDT,uptrend_high_vol,2024-11-06 00:00:00+00:00,2024-12-13 00:00:00+00:00,38,38,0.341375154,-0.06975234883
BTCUSDT,uptrend_low_vol,2024-12-14 00:00:00+00:00,2024-12-17 00:00:00+00:00,4,4,-0.01183555104,-0.05555995498
BTCUSDT,uptrend_high_vol,2024-12-18 00:00:00+00:00,2024-12-24 00:00:00+00:00,7,7,-0.007999512882,-0.05310382897
BTCUSDT,uptrend_low_vol,2024-12-25 00:00:00+00:00,2024-12-25 00:00:00+00:00,1,1,-0.0365134932,-0.0365134932
BTCUSDT,uptrend_high_vol,2024-12-26 00:00:00+00:00,2024-12-26 00:00:00+00:00,1,1,-0.01558312707,-0.01558312707
BTCUSDT,uptrend_low_vol,2024-12-27 00:00:00+00:00,2025-01-06 00:00:00+00:00,11,11,0.02823499956,-0.05147856145
BTCUSDT,uptrend_high_vol,2025-01-07 00:00:00+00:00,2025-01-11 00:00:00+00:00,5,5,-0.02497309645,-0.04554670177
BTCUSDT,uptrend_low_vol,2025-01-12 00:00:00+00:00,2025-01-14 00:00:00+00:00,3,3,0.06306990801,-0.000154497518
BTCUSDT,uptrend_high_vol,2025-01-15 00:00:00+00:00,2025-01-16 00:00:00+00:00,2,2,0.03566095959,-0.005202070476
BTCUSDT,uptrend_low_vol,2025-01-17 00:00:00+00:00,2025-01-21 00:00:00+00:00,5,5,-0.003629286109,-0.03073735007
BTCUSDT,uptrend_high_vol,2025-01-22 00:00:00+00:00,2025-01-22 00:00:00+00:00,1,1,0.001921576155,0
BTCUSDT,uptrend_low_vol,2025-01-23 00:00:00+00:00,2025-02-02 00:00:00+00:00,11,11,-0.02474772323,-0.06815885413
BTCUSDT,uptrend_high_vol,2025-02-03 00:00:00+00:00,2025-02-05 00:00:00+00:00,3,3,-0.04717568812,-0.04717568812
BTCUSDT,uptrend_low_vol,2025-02-06 00:00:00+00:00,2025-02-18 00:00:00+00:00,13,13,0.0008589329545,-0.02243286651
BTCUSDT,downtrend_low_vol,2025-02-19 00:00:00+00:00,2025-02-22 00:00:00+00:00,4,4,-0.003929687985,-0.02162786035
BTCUSDT,uptrend_low_vol,2025-02-23 00:00:00+00:00,2025-02-23 00:00:00+00:00,1,1,-0.04888773873,-0.04888773873
BTCUSDT,downtrend_low_vol,2025-02-24 00:00:00+00:00,2025-03-01 00:00:00+00:00,6,6,0.02959421731,-0.07983434319
BTCUSDT,downtrend_high_vol,2025-03-02 00:00:00+00:00,2025-05-05 00:00:00+00:00,65,65,0.02734051631,-0.1902395174
BTCUSDT,uptrend_high_vol,2025-05-06 00:00:00+00:00,2025-05-08 00:00:00+00:00,3,3,0.06346146495,-0.002772500898
BTCUSDT,uptrend_low_vol,2025-05-09 00:00:00+00:00,2025-10-09 00:00:00+00:00,154,154,0.09493704701,-0.1225674829
BTCUSDT,downtrend_low_vol,2025-10-10 00:00:00+00:00,2025-10-20 00:00:00+00:00,11,11,-0.03957950546,-0.07586791635
BTCUSDT,downtrend_high_vol,2025-10-21 00:00:00+00:00,2025-10-21 00:00:00+00:00,1,1,-0.006666746726,-0.006666746726
BTCUSDT,downtrend_low_vol,2025-10-22 00:00:00+00:00,2025-10-22 00:00:00+00:00,1,1,0.02319216605,0
BTCUSDT,downtrend_high_vol,2025-10-23 00:00:00+00:00,2025-10-24 00:00:00+00:00,2,2,0.01421029049,0
BTCUSDT,downtrend_low_vol,2025-10-25 00:00:00+00:00,2025-11-03 00:00:00+00:00,10,10,-0.09086078068,-0.1139541546
BTCUSDT,downtrend_high_vol,2025-11-04 00:00:00+00:00,2025-11-08 00:00:00+00:00,5,5,0.03174263654,-0.02437859337
BTCUSDT,downtrend_low_vol,2025-11-09 00:00:00+00:00,2025-11-25 00:00:00+00:00,17,17,-0.1359741895,-0.2007893075
BTCUSDT,downtrend_high_vol,2025-11-26 00:00:00+00:00,2025-11-27 00:00:00+00:00,2,2,0.00453017036,-0.004867885756
BTCUSDT,downtrend_low_vol,2025-11-28 00:00:00+00:00,2025-11-30 00:00:00+00:00,3,3,-0.05070238355,-0.05070238355
BTCUSDT,downtrend_high_vol,2025-12-01 00:00:00+00:00,2025-12-13 00:00:00+00:00,13,13,0.02176675757,-0.05630847952
BTCUSDT,downtrend_low_vol,2025-12-14 00:00:00+00:00,2025-12-18 00:00:00+00:00,5,5,-0.0002133483434,-0.03006282428
BTCUSDT,downtrend_high_vol,2025-12-19 00:00:00+00:00,2025-12-19 00:00:00+00:00,1,1,0.002506242906,0
BTCUSDT,downtrend_low_vol,2025-12-20 00:00:00+00:00,2026-02-01 00:00:00+00:00,44,44,-0.1090150904,-0.2061379929
BTCUSDT,downtrend_high_vol,2026-02-02 00:00:00+00:00,2026-04-02 00:00:00+00:00,60,60,-0.1494742193,-0.2010915907
BTCUSDT,downtrend_low_vol,2026-04-03 00:00:00+00:00,2026-04-12 00:00:00+00:00,10,10,0.1113850291,-0.03153256799
BTCUSDT,downtrend_high_vol,2026-04-13 00:00:00+00:00,2026-04-14 00:00:00+00:00,2,2,0.005259124824,-0.003738656987
BTCUSDT,downtrend_low_vol,2026-04-15 00:00:00+00:00,2026-05-01 00:00:00+00:00,17,17,0.05184403594,-0.04247922254
BTCUSDT,uptrend_low_vol,2026-05-02 00:00:00+00:00,2026-05-02 00:00:00+00:00,1,1,-0.001575275673,-0.001575275673
BTCUSDT,downtrend_low_vol,2026-05-03 00:00:00+00:00,2026-05-03 00:00:00+00:00,1,1,0.01651746489,0
BTCUSDT,uptrend_low_vol,2026-05-04 00:00:00+00:00,2026-06-01 00:00:00+00:00,29,29,-0.1640578708,-0.1879792206
