variant,symbol,direction,ret_threshold,oi_threshold,entry_delay_min,exit_hold_h,n_events,mean_net_bp,median_net_bp,win_rate,std_bp,t_stat,null_percentile,edge_vs_null_bp,significant,year_breakdown
btc_long_ret-5_oi-1_entry60_exit4h,BTCUSDT,long,-0.05,-0.01,60,4,19,44.91719319107608,28.575232161747856,0.7368421052631579,178.2095355576509,1.0986477538069552,99.5,57.78550329626863,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 7, ""mean_bp"": 126.93684513515748}, ""2024"": {""n"": 8, ""mean_bp"": 14.579782685556616}, ""2025"": {""n"": 3, ""mean_bp"": -73.71678647335905}, ""2026"": {""n"": 1, ""mean_bp"": 69.38085261996753}}"
btc_long_ret-5_oi-1_entry60_exit24h,BTCUSDT,long,-0.05,-0.01,60,24,19,219.92612421598997,187.0075069142614,0.6842105263157895,299.52170606953626,3.2005551887432127,100.0,220.72605826111248,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 7, ""mean_bp"": 122.6953746812995}, ""2024"": {""n"": 8, ""mean_bp"": 221.54988545307896}, ""2025"": {""n"": 3, ""mean_bp"": 245.16192438705687}, ""2026"": {""n"": 1, ""mean_bp"": 811.843880548911}}"
btc_long_ret-5_oi-1_entry60_exit72h,BTCUSDT,long,-0.05,-0.01,60,72,19,188.33664621581875,148.16395997453503,0.7894736842105263,373.74916390381287,2.196500989180543,95.0,165.4786396204589,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 7, ""mean_bp"": 115.50313198526749}, ""2024"": {""n"": 8, ""mean_bp"": 155.2591310331208}, ""2025"": {""n"": 3, ""mean_bp"": 212.03134433619798}, ""2026"": {""n"": 1, ""mean_bp"": 891.7072729301229}}"
btc_long_ret-5_oi-2_entry0_exit4h,BTCUSDT,long,-0.05,-0.02,0,4,17,167.33266079646714,131.57008099228997,0.8823529411764706,220.71647394916073,3.1258665143336883,100.0,178.80807693521484,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 6, ""mean_bp"": 167.9700302023534}, ""2024"": {""n"": 8, ""mean_bp"": 99.46381022476592}, ""2025"": {""n"": 2, ""mean_bp"": 269.5288204745612}, ""2026"": {""n"": 1, ""mean_bp"": 502.0669295785714}}"
btc_long_ret-5_oi-2_entry0_exit24h,BTCUSDT,long,-0.05,-0.02,0,24,17,363.4800061943496,136.36057889879606,1.0,431.04279166077356,3.4768391615255236,100.0,366.9847406418971,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 6, ""mean_bp"": 242.7526937390763}, ""2024"": {""n"": 8, ""mean_bp"": 255.86877050817316}, ""2025"": {""n"": 2, ""mean_bp"": 605.5094732400064}, ""2026"": {""n"": 1, ""mean_bp"": 1464.6748323240872}}"
btc_long_ret-5_oi-2_entry0_exit72h,BTCUSDT,long,-0.05,-0.02,0,72,17,303.49503586630624,136.13032443926156,0.8823529411764706,512.7014028466285,2.440683959083553,100.0,287.80496863925254,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 6, ""mean_bp"": 186.87489516995387}, ""2024"": {""n"": 8, ""mean_bp"": 160.18060024920206}, ""2025"": {""n"": 2, ""mean_bp"": 621.9094020784961}, ""2026"": {""n"": 1, ""mean_bp"": 1512.9026325568746}}"
btc_long_ret-5_oi-2_entry30_exit4h,BTCUSDT,long,-0.05,-0.02,30,4,17,90.24919912801923,67.19534295648378,0.7647058823529411,165.00895538848945,2.255071427827375,100.0,100.8351023409444,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 6, ""mean_bp"": 156.03640237721902}, ""2024"": {""n"": 8, ""mean_bp"": 61.532626274130294}, ""2025"": {""n"": 2, ""mean_bp"": -79.63122992336469}, ""2026"": {""n"": 1, ""mean_bp"": 265.0194205666996}}"
btc_long_ret-5_oi-2_entry30_exit24h,BTCUSDT,long,-0.05,-0.02,30,24,17,252.23494255771584,147.9185701322179,0.7058823529411765,349.21634851380776,2.9780716597692307,100.0,257.1429163513393,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 6, ""mean_bp"": 203.21377845952074}, ""2024"": {""n"": 8, ""mean_bp"": 179.14643575538594}, ""2025"": {""n"": 2, ""mean_bp"": 271.96827781676046}, ""2026"": {""n"": 1, ""mean_bp"": 1091.6033110474361}}"
btc_long_ret-5_oi-2_entry30_exit72h,BTCUSDT,long,-0.05,-0.02,30,72,17,207.5306898965432,180.8455492597323,0.7058823529411765,429.162642518892,1.9938150953180513,96.0,187.4811160952696,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 6, ""mean_bp"": 161.67711259620071}, ""2024"": {""n"": 8, ""mean_bp"": 110.01869569095973}, ""2025"": {""n"": 2, ""mean_bp"": 262.56345098619585}, ""2026"": {""n"": 1, ""mean_bp"": 1152.6825851639605}}"
btc_long_ret-5_oi-2_entry60_exit4h,BTCUSDT,long,-0.05,-0.02,60,4,17,52.48302962228259,69.31495410262457,0.7647058823529411,186.8921252840404,1.1578501467422206,99.0,62.8063351183929,True,"{""2021"": {""n"": 0, ""mean_bp"": null}, ""2022"": {""n"": 0, ""mean_bp"": null}, ""2023"": {""n"": 6, ""mean_bp"": 144.3010227602181}, ""2024"": {""n"": 8, ""mean_bp"": 14.579782685556616}, ""2025"": {""n"": 2, ""mean_bp"": -79.80687354346249}, ""2026"": {""n"": 1, ""mean_bp"": 69.38085261996753}}"
